Actor/Actress	Movie	Year
Embeth Davidtz	The Gingerbread Man	1998
Daryl Hannah	The Gingerbread Man	1998
Kenneth Branagh	The Gingerbread Man	1998
Robert Downey Jr.	The Gingerbread Man	1998
Paul Rhys	Chaplin	1992
Geraldine Chaplin	Chaplin	1992
Robert Downey Jr.	Tropic Thunder	2008
Jeff Kahn	Tropic Thunder	2008
Jack Black	Tropic Thunder	2008
Ben Stiller	Tropic Thunder	2008
Robert Downey Jr.	The Singing Detective	2003
Jeremy Northam	The Singing Detective	2003
Mel Gibson	The Singing Detective	2003
Robin Wright	The Singing Detective	2003
Robert Downey Jr.	1969	1988
Mariette Hartley	1969	1988
Kiefer Sutherland	1969	1988
Bruce Dern	1969	1988
Robert Downey Jr.	Zodiac	2007
Jake Gyllenhaal	Zodiac	2007
Anthony Edwards	Zodiac	2007
Robert Downey Jr.	A Scanner Darkly	2006
Keanu Reeves	A Scanner Darkly	2006
Rory Cochrane	A Scanner Darkly	2006
Robert Downey Jr.	The Judge	2014
Vera Farmiga	The Judge	2014
Robert Downey Jr.	Sherlock Holmes	2009
Rachel McAdams	Sherlock Holmes	2009
Jude Law	Sherlock Holmes	2009
Mark Strong	Sherlock Holmes	2009
Robert Downey Jr.	Captain America: Civil War	2016
Scarlett Johansson	Captain America: Civil War	2016
Chris Evans	Captain America: Civil War	2016
Sebastian Stan	Captain America: Civil War	2016
Robert Downey Jr.	Spider-Man: Homecoming	2017
Tom Holland	Spider-Man: Homecoming	2017
Marisa Tomei	Spider-Man: Homecoming	2017
Michael Keaton	Spider-Man: Homecoming	2017
Kevin Bacon	Telling Lies in America	1997
Calista Flockhart	Telling Lies in America	1997
Maximilian Schell	Telling Lies in America	1997
Brad Renfro	Telling Lies in America	1997
Kevin Bacon	Songs to Keep: Treasures of an Adirondack Folk Collector	2013
N. Paul Stookey	Songs to Keep: Treasures of an Adirondack Folk Collector	2013
Pete Seeger	Songs to Keep: Treasures of an Adirondack Folk Collector	2013
Michael Bacon	Songs to Keep: Treasures of an Adirondack Folk Collector	2013
Kevin Bacon	New York Skyride	1994
James Doohan	New York Skyride	1994
Michael Harkins	New York Skyride	1994
Elya Baskin	New York Skyride	1994
Kevin Bacon	X-Men: First Class	2011
James McAvoy	X-Men: First Class	2011
James McAvoy	X-Men: Apocalypse	2016
James McAvoy	Glass	2019
Kevin Kline	The Conspirator	2010
Robin Wright	The Conspirator	2010
Tom Wilkinson	The Conspirator	2010
James McAvoy	The Conspirator	2010
Bill Skarsgard	It Chapter Two	2019
James McAvoy	It Chapter Two	2019
Jessica Chastain	It Chapter Two	2019
Sophia Lillis	It Chapter Two	2019
Michael Fassbender	X-Men: First Class	2011
Michael Fassbender	X-Men: Apocalypse	2016
Michael Fassbender	Alien: Covenant	2017
Samuel L. Jackson	Glass	2019
Samuel L. Jackson	Avengers: Endgame	2019
Robert Downey Jr.	Avengers: Endgame	2019
Tom Holland	The Current War	2017
Katherine Waterston	Alien: Covenant	2017
Katherine Waterston	The Current War	2017
Kevin Bacon	Footloose	1984
Lori Singer	Footloose	1984
Dianne Wiest	Footloose	1984
John Lithgow	Footloose	1984
Kevin Bacon	Loverboy	2005
Dominic Scott Kay	Loverboy	2005
Kyra Sedgwick	Loverboy	2005
Campbell Scott	Loverboy	2005
Kevin Bacon	Murder in the First	1995
Embeth Davidtz	Murder in the First	1995
Gary Oldman	Murder in the First	1995
Christian Slater	Murder in the First	1995
Kevin Bacon	Elephant White	2011
Markus Waldow	Elephant White	2011
Djimon Hounsou	Elephant White	2011
Bill Skarsgard	Moomins and the Winter Wonderland	2017
Piotr Fronczewski	Moomins and the Winter Wonderland	2017
Bill Skarsgard	It	2017
Finn Wolfhard	It	2017
Sophia Lillis	It	2017
Bill Skarsgard	Simon & the Oaks	2011
Helen Sjoholm	Simon & the Oaks	2011
Jan Josef Liefers	Simon & the Oaks	2011
Maika Monroe	Echoes of War	2015
William Forsythe	Echoes of War	2015
Ethan Embry	Echoes of War	2015
James Badge Dale	Echoes of War	2015